"MaterialID","MaterialName","Thickness","Width","Size","Material","MaterialStandardPrice","UnitOfMeasure","MaterialType"
"6616BIR","6in X 6in X 16ft  Birch","6","6","6in X 6in X 16ft","Birch",216.0,"bdft","Wood"
"1/4816ASH","1/4in X 8in X 16ft  Ash","1/4","8","1/4in X 8in X 16ft","Ash",11.2,"bdft","Wood"
"1/268CHE","1/2in X 6in X 8ft  Cherry","1/2","6","1/2in X 6in X 8ft","Cherry",12.0,"bdft","Wood"
"5/8128PIN","5/8in X 12in X 8ft  Pine","5/8","12","5/8in X 12in X 8ft","Pine",13.8,"bdft","Wood"
"5/428CHE","5/4in X 2in X 8ft  Cherry","5/4","2","5/4in X 2in X 8ft","Cherry",10.0,"bdft","Wood"
"5/4812BIR","5/4in X 8in X 12ft  Birch","5/4","8","5/4in X 8in X 12ft","Birch",36.0,"bdft","Wood"
"1210BIR","1in X 2in X 10ft  Birch","1","2","1in X 2in X 10ft","Birch",6.0,"bdft","Wood"
"5/8212CHE","5/8in X 2in X 12ft  Cherry","5/8","2","5/8in X 2in X 12ft","Cherry",6.9,"bdft","Wood"
"3/8410ASH","3/8in X 4in X 10ft  Ash","3/8","4","3/8in X 4in X 10ft","Ash",5.25,"bdft","Wood"
"6612BIR","6in X 6in X 12ft  Birch","6","6","6in X 6in X 12ft","Birch",162.0,"bdft","Wood"
"1/41016CHE","1/4in X 10in X 16ft  Cherry","1/4","10","1/4in X 10in X 16ft","Cherry",20.0,"bdft","Wood"
"134PIN","1in X 3in X 4ft  Pine","1","3","1in X 3in X 4ft","Pine",3.0,"bdft","Wood"
"1288OAK","12in X 8in X 8ft  Oak","12","8","12in X 8in X 8ft","Oak",384.0,"bdft","Wood"
"484PIN","4in X 8in X 4ft  Pine","4","8","4in X 8in X 4ft","Pine",40.0,"bdft","Wood"
"5/834CHE","5/8in X 3in X 4ft  Cherry","5/8","3","5/8in X 3in X 4ft","Cherry",3.45,"bdft","Wood"
"1/2416CHE","1/2in X 4in X 16ft  Cherry","1/2","4","1/2in X 4in X 16ft","Cherry",16.0,"bdft","Wood"
"3/81212CHE","3/8in X 12in X 12ft  Cherry","3/8","12","3/8in X 12in X 12ft","Cherry",27.0,"bdft","Wood"
"5/444ASH","5/4in X 4in X 4ft  Ash","5/4","4","5/4in X 4in X 4ft","Ash",7.0,"bdft","Wood"
"434OAK","4in X 3in X 4ft  Oak","4","3","4in X 3in X 4ft","Oak",24.0,"bdft","Wood"
"1210PIN","1in X 2in X 10ft  Pine","1","2","1in X 2in X 10ft","Pine",5.0,"bdft","Wood"
"184ASH","1in X 8in X 4ft  Ash","1","8","1in X 8in X 4ft","Ash",11.2,"bdft","Wood"
"1288BIR","12in X 8in X 8ft  Birch","12","8","12in X 8in X 8ft","Birch",288.0,"bdft","Wood"
"5/468BIR","5/4in X 6in X 8ft  Birch","5/4","6","5/4in X 6in X 8ft","Birch",18.0,"bdft","Wood"
"1812BIR","1in X 8in X 12ft  Birch","1","8","1in X 8in X 12ft","Birch",28.8,"bdft","Wood"
"1-1/2108WAL","1-1/2in X 10in X 8ft  Walnut","1-1/2","10","1-1/2in X 10in X 8ft","Walnut",54.0,"bdft","Wood"
"1-1/244BIR","1-1/2in X 4in X 4ft  Birch","1-1/2","4","1-1/2in X 4in X 4ft","Birch",7.2,"bdft","Wood"
"1088ASH","10in X 8in X 8ft  Ash","10","8","10in X 8in X 8ft","Ash",280.0,"bdft","Wood"
"2612PIN","2in X 6in X 12ft  Pine","2","6","2in X 6in X 12ft","Pine",36.0,"bdft","Wood"
"2412CHE","2in X 4in X 12ft  Cherry","2","4","2in X 4in X 12ft","Cherry",48.0,"bdft","Wood"
"3/838OAK","3/8in X 3in X 8ft  Oak","3/8","3","3/8in X 3in X 8ft","Oak",3.6,"bdft","Wood"
"6316CHE","6in X 3in X 16ft  Cherry","6","3","6in X 3in X 16ft","Cherry",180.0,"bdft","Wood"
"1/4410ASH","1/4in X 4in X 10ft  Ash","1/4","4","1/4in X 4in X 10ft","Ash",3.5,"bdft","Wood"
"1/4128ASH","1/4in X 12in X 8ft  Ash","1/4","12","1/4in X 12in X 8ft","Ash",8.4,"bdft","Wood"
"1-1/2812ASH","1-1/2in X 8in X 12ft  Ash","1-1/2","8","1-1/2in X 8in X 12ft","Ash",50.4,"bdft","Wood"
"6216CHE","6in X 2in X 16ft  Cherry","6","2","6in X 2in X 16ft","Cherry",120.0,"bdft","Wood"
"1/2816OAK","1/2in X 8in X 16ft  Oak","1/2","8","1/2in X 8in X 16ft","Oak",25.6,"bdft","Wood"
"1/464BIR","1/4in X 6in X 4ft  Birch","1/4","6","1/4in X 6in X 4ft","Birch",1.8,"bdft","Wood"
"6410BIR","6in X 4in X 10ft  Birch","6","4","6in X 4in X 10ft","Birch",90.0,"bdft","Wood"
"3/4310PIN","3/4in X 3in X 10ft  Pine","3/4","3","3/4in X 3in X 10ft","Pine",5.625,"bdft","Wood"
"284BIR","2in X 8in X 4ft  Birch","2","8","2in X 8in X 4ft","Birch",19.2,"bdft","Wood"
"3/4816ASH","3/4in X 8in X 16ft  Ash","3/4","8","3/4in X 8in X 16ft","Ash",33.6,"bdft","Wood"
"3/438WAL","3/4in X 3in X 8ft  Walnut","3/4","3","3/4in X 3in X 8ft","Walnut",8.1,"bdft","Wood"
"5/884CHE","5/8in X 8in X 4ft  Cherry","5/8","8","5/8in X 8in X 4ft","Cherry",9.2,"bdft","Wood"
"134ASH","1in X 3in X 4ft  Ash","1","3","1in X 3in X 4ft","Ash",4.2,"bdft","Wood"
"1212CHE","1in X 2in X 12ft  Cherry","1","2","1in X 2in X 12ft","Cherry",12.0,"bdft","Wood"
"5/8812PIN","5/8in X 8in X 12ft  Pine","5/8","8","5/8in X 8in X 12ft","Pine",13.8,"bdft","Wood"
"NC100","Common Nail 1in",,,,,0.1,"each","Nails"
"4108BIR","4in X 10in X 8ft  Birch","4","10","4in X 10in X 8ft","Birch",120.0,"bdft","Wood"
"5/868WAL","5/8in X 6in X 8ft  Walnut","5/8","6","5/8in X 6in X 8ft","Walnut",12.42,"bdft","Wood"
"5/8810CHE","5/8in X 8in X 10ft  Cherry","5/8","8","5/8in X 8in X 10ft","Cherry",23.0,"bdft","Wood"
"61010WAL","6in X 10in X 10ft  Walnut","6","10","6in X 10in X 10ft","Walnut",337.5,"bdft","Wood"
"6812PIN","6in X 8in X 12ft  Pine","6","8","6in X 8in X 12ft","Pine",180.0,"bdft","Wood"
"6124CHE","6in X 12in X 4ft  Cherry","6","12","6in X 12in X 4ft","Cherry",180.0,"bdft","Wood"
"1/21010BIR","1/2in X 10in X 10ft  Birch","1/2","10","1/2in X 10in X 10ft","Birch",15.0,"bdft","Wood"
"3/864ASH","3/8in X 6in X 4ft  Ash","3/8","6","3/8in X 6in X 4ft","Ash",3.15,"bdft","Wood"
"1034WAL","10in X 3in X 4ft  Walnut","10","3","10in X 3in X 4ft","Walnut",67.5,"bdft","Wood"
"1/2212WAL","1/2in X 2in X 12ft  Walnut","1/2","2","1/2in X 2in X 12ft","Walnut",5.4,"bdft","Wood"
"21016CHE","2in X 10in X 16ft  Cherry","2","10","2in X 10in X 16ft","Cherry",160.0,"bdft","Wood"
"5/8412CHE","5/8in X 4in X 12ft  Cherry","5/8","4","5/8in X 4in X 12ft","Cherry",13.8,"bdft","Wood"
"3/81010BIR","3/8in X 10in X 10ft  Birch","3/8","10","3/8in X 10in X 10ft","Birch",11.25,"bdft","Wood"
"5/8612PIN","5/8in X 6in X 12ft  Pine","5/8","6","5/8in X 6in X 12ft","Pine",10.35,"bdft","Wood"
"484BIR","4in X 8in X 4ft  Birch","4","8","4in X 8in X 4ft","Birch",48.0,"bdft","Wood"
"121210OAK","12in X 12in X 10ft  Oak","12","12","12in X 12in X 10ft","Oak",720.0,"bdft","Wood"
"1-1/248CHE","1-1/2in X 4in X 8ft  Cherry","1-1/2","4","1-1/2in X 4in X 8ft","Cherry",24.0,"bdft","Wood"
"101010ASH","10in X 10in X 10ft  Ash","10","10","10in X 10in X 10ft","Ash",437.5,"bdft","Wood"
"5/8210OAK","5/8in X 2in X 10ft  Oak","5/8","2","5/8in X 2in X 10ft","Oak",4.6,"bdft","Wood"
"6810CHE","6in X 8in X 10ft  Cherry","6","8","6in X 8in X 10ft","Cherry",300.0,"bdft","Wood"
"5/828OAK","5/8in X 2in X 8ft  Oak","5/8","2","5/8in X 2in X 8ft","Oak",3.68,"bdft","Wood"
"121210BIR","12in X 12in X 10ft  Birch","12","12","12in X 12in X 10ft","Birch",540.0,"bdft","Wood"
"5/824CHE","5/8in X 2in X 4ft  Cherry","5/8","2","5/8in X 2in X 4ft","Cherry",2.3,"bdft","Wood"
"234BIR","2in X 3in X 4ft  Birch","2","3","2in X 3in X 4ft","Birch",7.2,"bdft","Wood"
"1/264BIR","1/2in X 6in X 4ft  Birch","1/2","6","1/2in X 6in X 4ft","Birch",3.6,"bdft","Wood"
"3/8416CHE","3/8in X 4in X 16ft  Cherry","3/8","4","3/8in X 4in X 16ft","Cherry",12.0,"bdft","Wood"
"12810ASH","12in X 8in X 10ft  Ash","12","8","12in X 8in X 10ft","Ash",420.0,"bdft","Wood"
"21010PIN","2in X 10in X 10ft  Pine","2","10","2in X 10in X 10ft","Pine",50.0,"bdft","Wood"
"3/81210OAK","3/8in X 12in X 10ft  Oak","3/8","12","3/8in X 12in X 10ft","Oak",18.0,"bdft","Wood"
"1/41010OAK","1/4in X 10in X 10ft  Oak","1/4","10","1/4in X 10in X 10ft","Oak",10.0,"bdft","Wood"
"NUT034","Upholstery Tack 3/4in",,,,,0.075,"each","Nails"
"5/41012CHE","5/4in X 10in X 12ft  Cherry","5/4","10","5/4in X 10in X 12ft","Cherry",75.0,"bdft","Wood"
"61012PIN","6in X 10in X 12ft  Pine","6","10","6in X 10in X 12ft","Pine",225.0,"bdft","Wood"
"5/888PIN","5/8in X 8in X 8ft  Pine","5/8","8","5/8in X 8in X 8ft","Pine",9.2,"bdft","Wood"
"3/8810WAL","3/8in X 8in X 10ft  Walnut","3/8","8","3/8in X 8in X 10ft","Walnut",13.5,"bdft","Wood"
"1/2310BIR","1/2in X 3in X 10ft  Birch","1/2","3","1/2in X 3in X 10ft","Birch",4.5,"bdft","Wood"
"1064ASH","10in X 6in X 4ft  Ash","10","6","10in X 6in X 4ft","Ash",105.0,"bdft","Wood"
"5/4216CHE","5/4in X 2in X 16ft  Cherry","5/4","2","5/4in X 2in X 16ft","Cherry",20.0,"bdft","Wood"
"1-1/21216BIR","1-1/2in X 12in X 16ft  Birch","1-1/2","12","1-1/2in X 12in X 16ft","Birch",86.4,"bdft","Wood"
"5/4610CHE","5/4in X 6in X 10ft  Cherry","5/4","6","5/4in X 6in X 10ft","Cherry",37.5,"bdft","Wood"
"1/2812OAK","1/2in X 8in X 12ft  Oak","1/2","8","1/2in X 8in X 12ft","Oak",19.2,"bdft","Wood"
"1-1/228OAK","1-1/2in X 2in X 8ft  Oak","1-1/2","2","1-1/2in X 2in X 8ft","Oak",9.6,"bdft","Wood"
"1/41216PIN","1/4in X 12in X 16ft  Pine","1/4","12","1/4in X 12in X 16ft","Pine",12.0,"bdft","Wood"
"101210PIN","10in X 12in X 10ft  Pine","10","12","10in X 12in X 10ft","Pine",375.0,"bdft","Wood"
"5/468PIN","5/4in X 6in X 8ft  Pine","5/4","6","5/4in X 6in X 8ft","Pine",15.0,"bdft","Wood"
"3/81216CHE","3/8in X 12in X 16ft  Cherry","3/8","12","3/8in X 12in X 16ft","Cherry",36.0,"bdft","Wood"
"2610CHE","2in X 6in X 10ft  Cherry","2","6","2in X 6in X 10ft","Cherry",60.0,"bdft","Wood"
"2128BIR","2in X 12in X 8ft  Birch","2","12","2in X 12in X 8ft","Birch",57.6,"bdft","Wood"
"12104WAL","12in X 10in X 4ft  Walnut","12","10","12in X 10in X 4ft","Walnut",270.0,"bdft","Wood"
"1068WAL","10in X 6in X 8ft  Walnut","10","6","10in X 6in X 8ft","Walnut",270.0,"bdft","Wood"
"10216ASH","10in X 2in X 16ft  Ash","10","2","10in X 2in X 16ft","Ash",140.0,"bdft","Wood"
"5/8812OAK","5/8in X 8in X 12ft  Oak","5/8","8","5/8in X 8in X 12ft","Oak",22.08,"bdft","Wood"
"3/834WAL","3/8in X 3in X 4ft  Walnut","3/8","3","3/8in X 3in X 4ft","Walnut",2.025,"bdft","Wood"
"1/244WAL","1/2in X 4in X 4ft  Walnut","1/2","4","1/2in X 4in X 4ft","Walnut",3.6,"bdft","Wood"
"5/8410BIR","5/8in X 4in X 10ft  Birch","5/8","4","5/8in X 4in X 10ft","Birch",6.9,"bdft","Wood"
"1210OAK","1in X 2in X 10ft  Oak","1","2","1in X 2in X 10ft","Oak",8.0,"bdft","Wood"
"12212ASH","12in X 2in X 12ft  Ash","12","2","12in X 2in X 12ft","Ash",126.0,"bdft","Wood"
"1/2312WAL","1/2in X 3in X 12ft  Walnut","1/2","3","1/2in X 3in X 12ft","Walnut",8.1,"bdft","Wood"
"434BIR","4in X 3in X 4ft  Birch","4","3","4in X 3in X 4ft","Birch",18.0,"bdft","Wood"
"5/4312OAK","5/4in X 3in X 12ft  Oak","5/4","3","5/4in X 3in X 12ft","Oak",18.0,"bdft","Wood"
"2812OAK","2in X 8in X 12ft  Oak","2","8","2in X 8in X 12ft","Oak",76.8,"bdft","Wood"
"1288PIN","12in X 8in X 8ft  Pine","12","8","12in X 8in X 8ft","Pine",240.0,"bdft","Wood"
"1084CHE","10in X 8in X 4ft  Cherry","10","8","10in X 8in X 4ft","Cherry",200.0,"bdft","Wood"
"5/41016WAL","5/4in X 10in X 16ft  Walnut","5/4","10","5/4in X 10in X 16ft","Walnut",90.0,"bdft","Wood"
"1/21012CHE","1/2in X 10in X 12ft  Cherry","1/2","10","1/2in X 10in X 12ft","Cherry",30.0,"bdft","Wood"
"144CHE","1in X 4in X 4ft  Cherry","1","4","1in X 4in X 4ft","Cherry",8.0,"bdft","Wood"
"3/8210ASH","3/8in X 2in X 10ft  Ash","3/8","2","3/8in X 2in X 10ft","Ash",2.625,"bdft","Wood"
"6310BIR","6in X 3in X 10ft  Birch","6","3","6in X 3in X 10ft","Birch",67.5,"bdft","Wood"
"148BIR","1in X 4in X 8ft  Birch","1","4","1in X 4in X 8ft","Birch",9.6,"bdft","Wood"
"5/4210OAK","5/4in X 2in X 10ft  Oak","5/4","2","5/4in X 2in X 10ft","Oak",10.0,"bdft","Wood"
"1/2210PIN","1/2in X 2in X 10ft  Pine","1/2","2","1/2in X 2in X 10ft","Pine",2.5,"bdft","Wood"
"5/424OAK","5/4in X 2in X 4ft  Oak","5/4","2","5/4in X 2in X 4ft","Oak",4.0,"bdft","Wood"
"4816ASH","4in X 8in X 16ft  Ash","4","8","4in X 8in X 16ft","Ash",224.0,"bdft","Wood"
"5/4410OAK","5/4in X 4in X 10ft  Oak","5/4","4","5/4in X 4in X 10ft","Oak",20.0,"bdft","Wood"
"6412WAL","6in X 4in X 12ft  Walnut","6","4","6in X 4in X 12ft","Walnut",162.0,"bdft","Wood"
"121216CHE","12in X 12in X 16ft  Cherry","12","12","12in X 12in X 16ft","Cherry",1440.0,"bdft","Wood"
"3/844CHE","3/8in X 4in X 4ft  Cherry","3/8","4","3/8in X 4in X 4ft","Cherry",3.0,"bdft","Wood"
"41012CHE","4in X 10in X 12ft  Cherry","4","10","4in X 10in X 12ft","Cherry",300.0,"bdft","Wood"
"1234CHE","12in X 3in X 4ft  Cherry","12","3","12in X 3in X 4ft","Cherry",90.0,"bdft","Wood"
"10108BIR","10in X 10in X 8ft  Birch","10","10","10in X 10in X 8ft","Birch",300.0,"bdft","Wood"
"5/8216CHE","5/8in X 2in X 16ft  Cherry","5/8","2","5/8in X 2in X 16ft","Cherry",9.2,"bdft","Wood"
"5/8316CHE","5/8in X 3in X 16ft  Cherry","5/8","3","5/8in X 3in X 16ft","Cherry",13.8,"bdft","Wood"
"648ASH","6in X 4in X 8ft  Ash","6","4","6in X 4in X 8ft","Ash",84.0,"bdft","Wood"
"NF212","Finish Nail 2-1/2in",,,,,0.25,"each","Nails"
"1/464PIN","1/4in X 6in X 4ft  Pine","1/4","6","1/4in X 6in X 4ft","Pine",1.5,"bdft","Wood"
"1/21010OAK","1/2in X 10in X 10ft  Oak","1/2","10","1/2in X 10in X 10ft","Oak",20.0,"bdft","Wood"
"1-1/238ASH","1-1/2in X 3in X 8ft  Ash","1-1/2","3","1-1/2in X 3in X 8ft","Ash",12.6,"bdft","Wood"
"2128PIN","2in X 12in X 8ft  Pine","2","12","2in X 12in X 8ft","Pine",48.0,"bdft","Wood"
"1248ASH","12in X 4in X 8ft  Ash","12","4","12in X 4in X 8ft","Ash",168.0,"bdft","Wood"
"1812OAK","1in X 8in X 12ft  Oak","1","8","1in X 8in X 12ft","Oak",38.4,"bdft","Wood"
"5/8416CHE","5/8in X 4in X 16ft  Cherry","5/8","4","5/8in X 4in X 16ft","Cherry",18.4,"bdft","Wood"
"4810WAL","4in X 8in X 10ft  Walnut","4","8","4in X 8in X 10ft","Walnut",180.0,"bdft","Wood"
"41016CHE","4in X 10in X 16ft  Cherry","4","10","4in X 10in X 16ft","Cherry",400.0,"bdft","Wood"
"1/488OAK","1/4in X 8in X 8ft  Oak","1/4","8","1/4in X 8in X 8ft","Oak",6.4,"bdft","Wood"
"5/8210BIR","5/8in X 2in X 10ft  Birch","5/8","2","5/8in X 2in X 10ft","Birch",3.45,"bdft","Wood"
"3/81010PIN","3/8in X 10in X 10ft  Pine","3/8","10","3/8in X 10in X 10ft","Pine",9.375,"bdft","Wood"
"234OAK","2in X 3in X 4ft  Oak","2","3","2in X 3in X 4ft","Oak",9.6,"bdft","Wood"
"464WAL","4in X 6in X 4ft  Walnut","4","6","4in X 6in X 4ft","Walnut",54.0,"bdft","Wood"
"6616OAK","6in X 6in X 16ft  Oak","6","6","6in X 6in X 16ft","Oak",288.0,"bdft","Wood"
"424OAK","4in X 2in X 4ft  Oak","4","2","4in X 2in X 4ft","Oak",16.0,"bdft","Wood"
"684WAL","6in X 8in X 4ft  Walnut","6","8","6in X 8in X 4ft","Walnut",108.0,"bdft","Wood"
"21012WAL","2in X 10in X 12ft  Walnut","2","10","2in X 10in X 12ft","Walnut",108.0,"bdft","Wood"
"NC1/2","Common Nail 1/2in",,,"1/2in","Common Nail",0.025,"ea","Nails"
"1028OAK","10in X 2in X 8ft  Oak","10","2","10in X 2in X 8ft","Oak",80.0,"bdft","Wood"
"3/81012CHE","3/8in X 10in X 12ft  Cherry","3/8","10","3/8in X 10in X 12ft","Cherry",22.5,"bdft","Wood"
"2210BIR","2in X 2in X 10ft  Birch","2","2","2in X 2in X 10ft","Birch",12.0,"bdft","Wood"
"6812OAK","6in X 8in X 12ft  Oak","6","8","6in X 8in X 12ft","Oak",288.0,"bdft","Wood"
"224BIR","2in X 2in X 4ft  Birch","2","2","2in X 2in X 4ft","Birch",4.8,"bdft","Wood"
"3/4812ASH","3/4in X 8in X 12ft  Ash","3/4","8","3/4in X 8in X 12ft","Ash",25.2,"bdft","Wood"
"2410OAK","2in X 4in X 10ft  Oak","2","4","2in X 4in X 10ft","Oak",32.0,"bdft","Wood"
"1/2616OAK","1/2in X 6in X 16ft  Oak","1/2","6","1/2in X 6in X 16ft","Oak",19.2,"bdft","Wood"
"2108OAK","2in X 10in X 8ft  Oak","2","10","2in X 10in X 8ft","Oak",64.0,"bdft","Wood"
"1028BIR","10in X 2in X 8ft  Birch","10","2","10in X 2in X 8ft","Birch",60.0,"bdft","Wood"
"5/4616BIR","5/4in X 6in X 16ft  Birch","5/4","6","5/4in X 6in X 16ft","Birch",36.0,"bdft","Wood"
"5/434BIR","5/4in X 3in X 4ft  Birch","5/4","3","5/4in X 3in X 4ft","Birch",4.5,"bdft","Wood"
"11210BIR","1in X 12in X 10ft  Birch","1","12","1in X 12in X 10ft","Birch",36.0,"bdft","Wood"
"3/41210WAL","3/4in X 12in X 10ft  Walnut","3/4","12","3/4in X 12in X 10ft","Walnut",40.5,"bdft","Wood"
"61212BIR","6in X 12in X 12ft  Birch","6","12","6in X 12in X 12ft","Birch",324.0,"bdft","Wood"
"2124CHE","2in X 12in X 4ft  Cherry","2","12","2in X 12in X 4ft","Cherry",48.0,"bdft","Wood"
"5/838BIR","5/8in X 3in X 8ft  Birch","5/8","3","5/8in X 3in X 8ft","Birch",4.14,"bdft","Wood"
"3/888ASH","3/8in X 8in X 8ft  Ash","3/8","8","3/8in X 8in X 8ft","Ash",8.4,"bdft","Wood"
"NC3","Common Nail 3in",,,"3in","Common Nail",0.15,"ea","Nails"
"1/2310OAK","1/2in X 3in X 10ft  Oak","1/2","3","1/2in X 3in X 10ft","Oak",6.0,"bdft","Wood"
"3/41212ASH","3/4in X 12in X 12ft  Ash","3/4","12","3/4in X 12in X 12ft","Ash",37.8,"bdft","Wood"
"6212WAL","6in X 2in X 12ft  Walnut","6","2","6in X 2in X 12ft","Walnut",81.0,"bdft","Wood"
"41216ASH","4in X 12in X 16ft  Ash","4","12","4in X 12in X 16ft","Ash",336.0,"bdft","Wood"
"1-1/2416WAL","1-1/2in X 4in X 16ft  Walnut","1-1/2","4","1-1/2in X 4in X 16ft","Walnut",43.2,"bdft","Wood"
"1/264PIN","1/2in X 6in X 4ft  Pine","1/2","6","1/2in X 6in X 4ft","Pine",3.0,"bdft","Wood"
"NF078","Finish Nail 7/8in",,,,,0.0875,"each","Nails"
"1/4612CHE","1/4in X 6in X 12ft  Cherry","1/4","6","1/4in X 6in X 12ft","Cherry",9.0,"bdft","Wood"
"2210OAK","2in X 2in X 10ft  Oak","2","2","2in X 2in X 10ft","Oak",16.0,"bdft","Wood"
"101212WAL","10in X 12in X 12ft  Walnut","10","12","10in X 12in X 12ft","Walnut",810.0,"bdft","Wood"
"5/4310OAK","5/4in X 3in X 10ft  Oak","5/4","3","5/4in X 3in X 10ft","Oak",15.0,"bdft","Wood"
"2810CHE","2in X 8in X 10ft  Cherry","2","8","2in X 8in X 10ft","Cherry",80.0,"bdft","Wood"
